,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,19,9,19,9
2,28,9,28,9
3,37,9,37,9
4,46,9,46,9
5,56,10,56,10
6,64,8,64,8
7,74,10,74,10
8,83,9,83,9
9,92,9,92,9
10,102,10,102,10
11,111,9,111,9
12,120,9,120,9
13,130,10,130,10
14,139,9,139,9
15,147,8,147,8
16,156,9,156,9
17,166,10,166,10
18,175,9,175,9
19,184,9,184,9
20,194,10,194,10
21,202,8,202,8
22,212,10,212,10
23,221,9,221,9
24,229,8,229,8
25,238,9,238,9
26,247,9,247,9
27,256,9,256,9
28,265,9,265,9
29,275,10,275,10
30,284,9,284,9
31,293,9,293,9
32,303,10,303,10
