,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,17,8,17,8
2,24,7,24,7
3,30,6,30,6
4,37,7,37,7
5,46,9,46,9
6,55,9,55,9
7,62,7,62,7
8,71,9,71,9
9,80,9,80,9
10,87,7,87,7
11,96,9,96,9
12,105,9,105,9
13,112,7,112,7
14,121,9,121,9
15,130,9,130,9
16,139,9,139,9
17,146,7,146,7
18,155,9,155,9
19,164,9,164,9
20,171,7,171,7
21,180,9,180,9
22,189,9,189,9
23,196,7,196,7
24,205,9,205,9
25,214,9,214,9
26,223,9,223,9
27,229,6,229,6
28,236,7,236,7
29,243,7,243,7
30,251,8,251,8
31,259,8,259,8
32,268,9,268,9
33,276,8,276,8
34,284,8,284,8
35,293,9,293,9
36,302,9,302,9
37,309,7,309,7
38,317,8,317,8
39,326,9,326,9
40,334,8,334,8
