,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,34,8,34,8
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,68,9,68,9
8,76,8,76,8
9,84,8,84,8
10,92,8,92,8
11,101,9,101,9
12,110,9,110,9
13,117,7,117,7
14,126,9,126,9
15,135,9,135,9
16,142,7,142,7
17,151,9,151,9
18,160,9,160,9
19,168,8,168,8
20,176,8,176,8
21,185,9,185,9
22,194,9,194,9
23,202,8,202,8
24,211,9,211,9
25,219,8,219,8
26,227,8,227,8
27,235,8,235,8
28,244,9,244,9
29,252,8,252,8
30,261,9,261,9
31,270,9,270,9
32,278,8,278,8
