,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,34,8,34,8
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,68,9,68,9
8,77,9,77,9
9,84,7,84,7
10,93,9,93,9
11,101,8,101,8
12,110,9,110,9
13,118,8,118,8
14,127,9,127,9
15,136,9,136,9
16,143,7,143,7
17,152,9,152,9
18,161,9,161,9
19,169,8,169,8
20,177,8,177,8
21,186,9,186,9
22,195,9,195,9
23,203,8,203,8
24,211,8,211,8
25,220,9,220,9
26,228,8,228,8
27,235,7,235,7
28,240,5,240,5
29,248,8,248,8
30,254,6,254,6
31,263,9,263,9
32,271,8,271,8
33,280,9,280,9
34,287,7,287,7
35,296,9,296,9
36,305,9,305,9
37,313,8,313,8
38,322,9,322,9
39,330,8,330,8
40,338,8,338,8
41,347,9,347,9
42,355,8,355,8
43,363,8,363,8
44,371,8,371,8
45,380,9,380,9
46,388,8,388,8
47,396,8,396,8
48,405,9,405,9
49,413,8,413,8
