,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,27,9,27,9
3,34,7,34,7
4,42,8,42,8
5,51,9,51,9
6,58,7,58,7
7,67,9,67,9
8,76,9,76,9
9,84,8,84,8
10,93,9,93,9
11,101,8,101,8
12,109,8,109,8
13,117,8,117,8
14,126,9,126,9
15,135,9,135,9
16,143,8,143,8
17,151,8,151,8
18,160,9,160,9
19,168,8,168,8
20,176,8,176,8
21,185,9,185,9
22,194,9,194,9
23,202,8,202,8
24,211,9,211,9
25,220,9,220,9
26,227,7,227,7
27,236,9,236,9
28,244,8,244,8
29,252,8,252,8
30,261,9,261,9
31,269,8,269,8
