,dropid_history,drops_per_sec
0,9,9
1,17,8
2,26,9
3,35,9
4,43,8
5,52,9
6,61,9
7,69,8
8,77,8
9,86,9
10,94,8
11,103,9
12,111,8
13,120,9
14,129,9
15,137,8
16,146,9
17,155,9
18,164,9
19,172,8
20,181,9
21,189,8
22,198,9
23,207,9
24,217,10
25,225,8
