,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,25,7,25,7
3,31,6,31,6
4,38,7,38,7
5,45,7,45,7
6,52,7,52,7
7,58,6,58,6
8,66,8,66,8
9,75,9,75,9
10,84,9,84,9
11,91,7,91,7
12,99,8,99,8
13,108,9,108,9
14,116,8,116,8
15,125,9,125,9
16,133,8,133,8
17,141,8,141,8
18,150,9,150,9
19,158,8,158,8
20,167,9,167,9
21,174,7,174,7
22,183,9,183,9
23,192,9,192,9
24,199,7,199,7
25,208,9,208,9
26,217,9,217,9
27,225,8,225,8
28,234,9,234,9
29,242,8,242,8
30,251,9,251,9
31,259,8,259,8
32,268,9,268,9
33,276,8,276,8
