,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,29,9,29,9
3,38,9,38,9
4,48,10,48,10
5,57,9,57,9
6,67,10,67,10
7,76,9,76,9
8,84,8,84,8
9,93,9,93,9
10,103,10,103,10
11,112,9,112,9
12,121,9,121,9
13,131,10,131,10
14,140,9,140,9
15,149,9,149,9
16,159,10,159,10
17,168,9,168,9
18,177,9,177,9
19,186,9,186,9
20,196,10,196,10
21,205,9,205,9
22,215,10,215,10
23,224,9,224,9
24,233,9,233,9
25,243,10,243,10
26,252,9,252,9
27,261,9,261,9
28,271,10,271,10
29,280,9,280,9
