,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,34,8,34,8
4,42,8,42,8
5,51,9,51,9
6,59,8,59,8
7,68,9,68,9
8,77,9,77,9
9,85,8,85,8
10,93,8,93,8
11,102,9,102,9
12,110,8,110,8
13,118,8,118,8
14,126,8,126,8
15,135,9,135,9
16,143,8,143,8
17,152,9,152,9
18,160,8,160,8
19,168,8,168,8
20,176,8,176,8
21,185,9,185,9
22,194,9,194,9
23,202,8,202,8
24,211,9,211,9
25,219,8,219,8
26,227,8,227,8
27,235,8,235,8
28,244,9,244,9
29,252,8,252,8
30,261,9,261,9
31,269,8,269,8
32,277,8,277,8
33,285,8,285,8
34,294,9,294,9
35,303,9,303,9
36,311,8,311,8
37,319,8,319,8
38,328,9,328,9
39,336,8,336,8
40,344,8,344,8
