,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,27,9,27,9
3,34,7,34,7
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,67,8,67,8
8,74,7,74,7
9,82,8,82,8
10,87,5,87,5
11,94,7,94,7
12,102,8,102,8
13,110,8,110,8
14,117,7,117,7
15,127,10,126,9
16,135,8,135,9
17,143,8,143,8
18,152,9,152,9
19,160,8,160,8
20,168,8,168,8
21,177,9,177,9
22,185,8,185,8
23,194,9,194,9
24,202,8,202,8
25,210,8,210,8
26,219,9,219,9
27,227,8,227,8
28,236,9,236,9
29,244,8,244,8
30,252,8,252,8
31,260,8,260,8
32,269,9,269,9
33,277,8,277,8
34,285,8,285,8
35,293,8,293,8
36,302,9,302,9
37,309,7,309,7
38,318,9,318,9
39,326,8,326,8
40,335,9,335,9
41,343,8,343,8
42,351,8,351,8
43,360,9,360,9
44,368,8,368,8
45,376,8,376,8
46,385,9,385,9
