,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,17,8,17,8
2,26,9,26,9
3,34,8,34,8
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,67,8,67,8
8,76,9,76,9
9,84,8,84,8
10,93,9,93,9
11,101,8,101,8
12,109,8,109,8
13,117,8,117,8
14,125,8,125,8
15,132,7,132,7
16,139,7,139,7
17,144,5,144,5
18,152,8,152,8
19,160,8,160,8
20,168,8,168,8
21,177,9,177,9
22,185,8,185,8
23,194,9,194,9
24,202,8,202,8
25,210,8,210,8
26,219,9,219,9
27,227,8,227,8
28,235,8,235,8
29,244,9,244,9
30,252,8,252,8
31,260,8,260,8
