,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,27,9,27,9
3,36,9,36,9
4,45,9,45,9
5,53,8,53,8
6,62,9,62,9
7,71,9,71,9
8,80,9,80,9
9,88,8,88,8
10,96,8,96,8
11,105,9,105,9
12,114,9,114,9
13,123,9,123,9
14,132,9,132,9
15,142,10,142,10
16,151,9,151,9
17,160,9,160,9
18,169,9,169,9
19,179,10,179,10
20,188,9,188,9
21,197,9,197,9
22,207,10,207,10
23,216,9,216,9
24,225,9,225,9
25,234,9,234,9
26,244,10,244,10
27,252,8,252,8
28,261,9,261,9
29,270,9,270,9
30,279,9,279,9
31,288,9,288,9
