,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,19,9,19,9
2,28,9,28,9
3,38,10,38,10
4,48,10,48,10
5,56,8,56,8
6,66,10,66,10
7,75,9,75,9
8,84,9,84,9
9,94,10,94,10
10,103,9,103,9
11,112,9,112,9
12,122,10,122,10
13,132,10,132,10
14,140,8,140,8
15,149,9,149,9
16,159,10,159,10
17,168,9,168,9
18,177,9,177,9
19,186,9,186,9
20,195,9,195,9
21,204,9,204,9
22,213,9,213,9
23,223,10,223,10
24,231,8,231,8
25,241,10,241,10
26,251,10,251,10
27,259,8,259,8
28,268,9,268,9
29,278,10,278,10
30,287,9,287,9
31,296,9,296,9
32,305,9,305,9
33,314,9,314,9
34,324,10,324,10
35,333,9,333,9
36,341,8,341,8
37,351,10,351,10
