,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,34,8,34,8
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,68,9,68,9
8,76,8,76,8
9,84,8,84,8
10,93,9,93,9
11,101,8,101,8
12,110,9,110,9
13,118,8,118,8
14,127,9,127,9
15,135,8,135,8
16,143,8,143,8
17,151,8,151,8
18,160,9,160,9
19,168,8,168,8
20,177,9,177,9
21,186,9,185,8
22,194,8,194,9
23,202,8,202,8
24,210,8,210,8
25,219,9,219,9
26,226,7,226,7
27,235,9,235,9
28,244,9,244,9
29,252,8,252,8
30,261,9,261,9
31,269,8,269,8
32,276,7,276,7
33,282,6,282,6
34,290,8,290,8
35,299,9,299,9
