,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,16,7,16,7
2,24,8,24,8
3,30,6,30,6
4,38,8,38,8
5,46,8,46,8
6,55,9,55,9
7,62,7,62,7
8,70,8,70,8
9,79,9,79,9
10,87,8,87,8
11,96,9,96,9
12,104,8,104,8
13,112,8,112,8
14,121,9,121,9
15,129,8,129,8
16,137,8,137,8
17,145,8,145,8
18,154,9,154,9
19,162,8,162,8
20,170,8,170,8
21,178,8,178,8
22,187,9,187,9
23,196,9,196,9
24,203,7,203,7
25,212,9,212,9
26,221,9,221,9
27,229,8,229,8
28,238,9,238,9
29,247,9,247,9
30,255,8,255,8
31,263,8,263,8
32,271,8,271,8
