,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,27,9,27,9
3,35,8,35,8
4,44,9,44,9
5,52,8,52,8
6,60,8,60,8
7,69,9,69,9
8,78,9,78,9
9,85,7,85,7
10,94,9,94,9
11,103,9,103,9
12,112,9,112,9
13,120,8,120,8
14,128,8,128,8
15,137,9,137,9
16,145,8,145,8
17,154,9,154,9
18,162,8,162,8
19,170,8,170,8
20,178,8,178,8
21,187,9,187,9
22,195,8,195,8
23,203,8,203,8
24,211,8,211,8
25,220,9,220,9
26,227,7,227,7
27,236,9,236,9
28,244,8,244,8
29,252,8,252,8
30,261,9,261,9
31,269,8,269,8
32,278,9,278,9
33,286,8,286,8
34,295,9,295,9
35,303,8,303,8
36,311,8,311,8
37,320,9,320,9
38,328,8,328,8
