,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,86,86,86,86
1,173,87,173,87
2,260,87,260,87
3,347,87,347,87
4,435,88,434,87
5,521,86,520,86
6,608,87,608,88
7,695,87,695,87
8,696,1,696,1
9,696,0,696,0
10,772,76,772,76
11,851,79,851,79
12,934,83,934,83
13,1022,88,1022,88
14,1108,86,1107,85
15,1196,88,1196,89
16,1196,0,1196,0
17,1196,0,1196,0
18,1196,0,1196,0
19,1196,0,1196,0
20,1196,0,1196,0
21,1196,0,1196,0
22,1282,86,1281,85
23,1368,86,1368,87
24,1456,88,1456,88
25,1545,89,1544,88
