,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,30,10,30,10
3,40,10,40,10
4,50,10,50,10
5,60,10,60,10
6,70,10,70,10
7,80,10,80,10
8,90,10,90,10
9,100,10,100,10
10,110,10,110,10
11,120,10,120,10
12,130,10,130,10
13,140,10,140,10
14,150,10,150,10
15,160,10,160,10
16,170,10,170,10
17,180,10,180,10
18,190,10,190,10
19,200,10,200,10
20,210,10,210,10
21,220,10,220,10
22,230,10,230,10
23,240,10,240,10
24,250,10,250,10
25,260,10,260,10
26,270,10,270,10
27,280,10,280,10
28,290,10,290,10
29,300,10,300,10
30,310,10,310,10
31,320,10,320,10
32,330,10,330,10
33,340,10,340,10
34,350,10,350,10
35,360,10,360,10
36,370,10,370,10
37,380,10,380,10
38,390,10,390,10
39,400,10,400,10
40,410,10,410,10
41,420,10,420,10
42,430,10,430,10
43,440,10,440,10
44,450,10,450,10
45,460,10,460,10
46,470,10,470,10
47,480,10,480,10
48,490,10,490,10
49,500,10,500,10
50,510,10,510,10
51,520,10,520,10
52,530,10,530,10
53,540,10,540,10
54,550,10,550,10
55,560,10,560,10
56,570,10,570,10
57,580,10,580,10
58,590,10,590,10
59,600,10,600,10
60,610,10,610,10
61,620,10,620,10
62,630,10,630,10
63,640,10,640,10
64,650,10,650,10
65,660,10,660,10
66,670,10,670,10
67,680,10,680,10
68,690,10,690,10
69,700,10,700,10
70,710,10,710,10
71,720,10,720,10
72,730,10,730,10
73,740,10,740,10
74,750,10,750,10
75,760,10,760,10
76,770,10,770,10
77,780,10,780,10
78,790,10,790,10
79,800,10,800,10
80,810,10,810,10
81,820,10,820,10
82,830,10,830,10
83,840,10,840,10
84,850,10,850,10
85,860,10,860,10
86,870,10,870,10
87,880,10,880,10
88,890,10,890,10
89,900,10,900,10
90,910,10,910,10
91,920,10,920,10
92,930,10,930,10
93,940,10,940,10
94,950,10,950,10
95,960,10,960,10
96,970,10,970,10
97,980,10,980,10
