,packid_history,packs_per_sec,dropid_history,drops_per_sec
0,9,9,9,9
1,17,8,17,8
2,27,10,27,10
3,37,10,37,10
4,47,10,47,10
5,57,10,57,10
6,66,9,66,9
7,75,9,75,9
8,83,8,83,8
9,93,10,93,10
10,103,10,103,10
11,113,10,113,10
12,121,8,121,8
13,131,10,131,10
14,141,10,141,10
15,151,10,151,10
16,161,10,161,10
17,170,9,170,9
18,179,9,179,9
19,189,10,189,10
20,197,8,197,8
21,206,9,206,9
22,215,9,215,9
23,223,8,223,8
24,233,10,233,10
25,242,9,242,9
26,252,10,252,10
27,260,8,260,8
28,269,9,269,9
29,278,9,278,9
30,288,10,288,10
31,297,9,297,9
