,packid_history,packs_per_sec,dropid_history,drops_per_sec
0,10,10,10,10
1,18,8,18,8
2,28,10,28,10
3,36,8,36,8
4,45,9,45,9
5,55,10,55,10
6,65,10,65,10
7,75,10,75,10
8,84,9,84,9
9,94,10,94,10
10,104,10,104,10
11,113,9,113,9
12,122,9,122,9
13,132,10,132,10
14,142,10,142,10
15,152,10,152,10
16,162,10,162,10
17,171,9,171,9
18,180,9,180,9
19,190,10,190,10
20,199,9,199,9
21,209,10,209,10
22,216,7,216,7
23,226,10,226,10
24,236,10,236,10
25,243,7,243,7
26,253,10,253,10
27,262,9,262,9
28,272,10,272,10
29,281,9,281,9
30,291,10,291,10
31,300,9,300,9
32,310,10,310,10
33,318,8,318,8
