,packid_history,packs_per_sec,dropid_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,30,10,30,10
3,39,9,39,9
4,49,10,49,10
5,56,7,56,7
6,65,9,65,9
7,74,9,74,9
8,84,10,84,10
9,94,10,94,10
10,104,10,104,10
11,113,9,113,9
12,123,10,123,10
13,133,10,133,10
14,141,8,141,8
15,151,10,151,10
16,160,9,160,9
17,170,10,170,10
18,178,8,178,8
19,187,9,187,9
20,197,10,197,10
21,206,9,206,9
22,215,9,215,9
23,225,10,225,10
24,233,8,233,8
25,243,10,243,10
26,253,10,253,10
27,262,9,262,9
28,270,8,270,8
29,280,10,280,10
30,290,10,290,10
31,300,10,300,10
32,309,9,309,9
33,318,9,318,9
34,327,9,327,9
35,337,10,337,10
36,347,10,347,10
37,355,8,355,8
38,364,9,364,9
39,374,10,374,10
40,383,9,383,9
41,392,9,392,9
42,402,10,402,10
43,412,10,412,10
44,420,8,420,8
