,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,89,89,89,89
1,178,89,178,89
2,265,87,265,87
3,354,89,354,89
4,442,88,442,88
5,532,90,532,90
6,621,89,620,88
7,710,89,710,90
8,800,90,799,89
9,888,88,888,89
10,955,67,955,67
11,955,0,955,0
12,955,0,955,0
13,955,0,955,0
14,955,0,955,0
15,955,0,955,0
16,955,0,955,0
17,955,0,955,0
18,955,0,955,0
19,955,0,955,0
20,955,0,955,0
21,955,0,955,0
22,955,0,955,0
23,955,0,955,0
24,955,0,955,0
25,955,0,955,0
26,955,0,955,0
27,955,0,955,0
28,955,0,955,0
29,955,0,955,0
30,955,0,955,0
31,963,8,963,8
32,1048,85,1047,84
33,1136,88,1135,88
34,1223,87,1223,88
35,1311,88,1311,88
